@relation Issues

@attribute Title string
@attribute Body string
@attribute Label {bug,enhancement}

@data
'fails error stacktrace includes javascript api','jasonrudolph april description exception occurs stacktrace core javascript exception reporting package fails report exception bugsnag stacktrace exception fuzzy finder package stacktrace call array foreach github fuzzy finder lib main js uncaught error foreach users github fuzzy finder lib main js array foreach native object createprojectview users github fuzzy finder lib main js htmlelement fuzzy finder toggle file finder users github fuzzy finder lib main js commandregistry handlecommandevent applications atom app contents resources app src command registry js keymapmanager module exports keymapmanager dispatchcommandevent applications atom app contents resources app node modules atom keymap lib keymap manager js keymapmanager module exports keymapmanager handlekeyboardevent applications atom app contents resources app node modules atom keymap lib keymap manager js windoweventhandler handledocumentkeyevent applications atom app contents resources app src window event handler js exception reporting package attempts normalize paths stacktrace https github atom exception reporting blob 06b51ec2f8db4753c9ffc9ad6360061939ac32d5 lib reporter js l86 package errors encounters array foreach stacktrace reporting exception bugsnag package logs error console error reporting uncaught exception typeerror read property replace null reporter normalizepath github exception reporting lib reporter js reporter scrubpath github exception reporting lib reporter js github exception reporting lib reporter js array map native reporter buildstacktracejson github exception reporting lib reporter js reporter buildexceptionjson github exception reporting lib reporter js reporter buildnotificationjson github exception reporting lib reporter js reporter reportuncaughtexception github exception reporting lib reporter js github atom app node modules exception reporting lib main js function module exports emitter simpledispatch applications atom app contents resources app node modules event kit lib emitter js emitter module exports emitter emit applications atom app contents resources app node modules event kit lib emitter js window onerror applications atom app contents resources app src atom environment js keymapmanager module exports keymapmanager dispatchcommandevent applications atom app contents resources app node modules atom keymap lib keymap manager js keymapmanager module exports keymapmanager handlekeyboardevent applications atom app contents resources app node modules atom keymap lib keymap manager js windoweventhandler handledocumentkeyevent applications atom app contents resources app src window event handler js steps reproduce clone repository bundled package apm link fuzzy finder git clone atom fuzzy finder cd fuzzy finder git checkout v1 apm install apm link fuzzy finder code edit main js trigger error core javascript stacktrace diff lib main js lib main js module exports createprojectview foreach throw error stoploadpathstask projectview null clone atom exception reporting repository apm link package git clone atom exception reporting cd exception reporting git checkout v0 apm install apm link exception reporting code edit lib reporter js local copy fuzzy finder bundled package error reporting diff lib reporter js lib reporter js reporter isbundledfile filename normalizepath filename indexof resourcepath true isteletypefile filename open atom trigger fuzzy finder toggle file finder command error thrown expected behavior error successfully posted bugsnag actual behavior error reported bugsnag reproduces versions exception reporting atom version atom dev 6dd878d electron chrome node cc cii encountered issue pairing today issue atom exception reporting',bug
'wrap length differs editor line length','jasonrudolph december wrap guide https github atom wrap guide blob 4ffdee199951398f5953fe575dfa3c777e0cdbc0 index md configuration differ editor preferredlinelength autoflow package wrap guide line length case files line length characters editor preferredlinelength set git commit characters http tbaggery note git commit guideline wrap guide https github atom wrap guide blob 4ffdee199951398f5953fe575dfa3c777e0cdbc0 index md configuration commit wrap guide pattern commit column love commit message characters editor preferredlinelength line length gif behavior note wrap guide characters wrap characters autoflow demo https cloud github assets 7fce0bba 6e75 11e3 0daca6ed4b33 gif case commit message reflowed characters characters note autoflow package dependency wrap guide package weird packages combined issue atom autoflow',enhancement
'','ahti march multiple multiple cursors cursor reflowed text selected multiple beginning selection reflowed expected cursor selection command reflowing buffer issue atom autoflow',enhancement
editing,'ahti march edit typing deletion user doesn buffer sense reasonable user select feature enabled issue atom autoflow',enhancement
'reflowing fails','slang800 coffee constructor nsync library transports param type description type description reflowed coffee constructor nsync library transports param type description type description wrong great autoflow behavior st2 wrap https github ehuss sublime wrap package reflows coffee constructor nsync library transports param type description type description issue atom autoflow',enhancement
breaks,'izuzak danbim block text indented selection command cmd alt mac text block indentation line lose lines file types correct selection unusable source code screen shot https cloud githubusercontent assets ced99d34 1fe8 11e5 910e b9e79629aa2a png suggest depending file type issue atom atom issue atom autoflow',enhancement
'autoreflow doesn account','paulecoffet november space https space point autoreflow delete exemple input lorem adipisicing eiusmo tempor incididunt laboreâ 81st char space lorem adipisicing eiusmo tempor incididunt laboreâ space broken expected lorem adipisicing eiusmo tempor incididunt laboreâ space broken issue atom autoflow',enhancement
autoflow,'onury js atom autoflow test autoflow readonly private autolowed js atom autoflow test autoflow readonly private atom v1 mac os issue atom autoflow',bug
'add support editorconfig file','terrycloth march prerequisites put brackets line reproduced problem safe mode http flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide http flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description http attempt standardizing configurations text code file program https github directory files globbing set ini autoflow max line length maximum characters line set visual text wrapping guide wrap maximum line length semantically related sense autoflow rewrap text versions fedora x86 atom autoflow electron chrome node apm npm node python git issue atom autoflow',enhancement
'provide option eol whitespace','lijunle repository getlinediffs https github atom git utils blob 7c6c2fd5650233d0e5d4bdee80f04f574ed5ff83 md repositorygetlinediffspath text ignoreeolwhitespace code https github atom git diff blob 1f73deb3020b26e8e6578db89ccd76045060bd23 lib git diff view coffee l103 issue atom git diff',enhancement
'mark covered mark bottom row selected','izuzak gif deleted row shown notice click row upper triangle visible click row triangle longer visible https cloud githubusercontent assets e79a1258 48b1 11e5 9baa 9ee16f9a7dc2 gif atom a87dd05 safe mode osx pager cii issue atom git diff',bug
'atom ux problems','summary ux feature negatively impact user mind free mind issue brainstorm solutions improve rfc proposed switch switch atom opens window close window window adjustment window tree view feels tedious packages https atom io packages https atom io packages switcher2 https atom io packages switcher2 limit multiple replace fuzzy finder active issue https github atom github issues https github atom github issues back autocomplete autocomplete shows chronological top spell arrow key times packages themes seconds list packages themes shown showing status bar long time show install package https atom io packages package open package package discovery people instinctively packages start type package install past https github atom view issues priority apm install package health package packages abandoned maintained anymore broken installing package repo check package health command palette commands installing packages commands packages pollute list keymap install bar https atom io packages bar package functionality github package dock open issue https github atom github issues menu packages command palette package authors status bar status bar package authors build ui atom ui components select list mini editor components styleguide https github atom styleguide package authors build great freedom extra lacks packages package authors ui library',enhancement
'check linux','pedzed windows macos update atom latest version nice linux update functionality nice update version update check https github atom atom version understandably ideal issue atom',enhancement
'warn unsupported atom','read atom code conduct filing issue expected comply including treating respect https github atom atom blob master code conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description package installed git repository atom doesn check engines https npmjs files package json engines package json atom user version atom package package enabled updated installed community packages steps reproduce install git package doesn support version atom set package test engines package https atom io packages test engines package https github uzitech test engines package expected behavior expect happen atom package support version atom actual behavior package fine reproduces percentage time reproduce versions atom beta1 electron chrome node apm npm node x64 atom beta1 python git windows visual studio additional information resubmitted',enhancement
'','package recently newline bottom file log package link package isn long term log package responsible',enhancement
'feature request size pane','read atom code conduct filing issue expected comply including treating respect https github atom atom blob master code conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description split atom ide pane pane gif https user images githubusercontent 5f563d54 11e8 82fd 085d85ecfeac gif',enhancement
'improve soft web browsers','description soft wrapping behavior aggressive leads bad results steps reproduce enable soft wrapâ soft wrap line lengthâ tab copy url text editor tab characters characters line length expected behavior character sequences dashes slashes browser character sequences line lengthâ show grayed character eol atom word character broken bar unicode block line length set character wrap guide https github comâ atom atom issuesâ averylongword thatshouldbreak averylongword thatshouldbreak differentiate previous averylongwordwithnos space slash word eparator actual behavior character sequences character space line word cut window edge expected line length screenshot screenshot wrapping behavior https user images githubusercontent 785416b2 22c2 11e8 d8eefa909d57 png https github atom issues averylongword thatsh ouldbreak averylongword canâ thatshouldbreak averylongwordwithnos eparator versions arch linux atom electron chrome node',enhancement
'uncaught typeerror read property null','open atom safe mode cmd exe atom safe open untitled buffer paste contents language place cursor line press kbd ctrl space kbd run command autocomplete activate press kbd ctrl shift kbd run command command palette toggle autocomplete description link command run command command palette expected description link happen opening command palette closes autocomplete actual exception thrown gif reproduction style exception https user images githubusercontent a5ac590a ff5c 11e7 8a11 b1eb720eec51 gif atom x64 electron os mac os thrown atom core stack trace uncaught typeerror read property style null applications atom app contents resources app node modules autocomplete lib autocomplete manager js typeerror read property style null htmlelement autocomplete description link applications atom app contents resources app node modules autocomplete lib autocomplete manager js commandregistry handlecommandevent applications atom app contents resources app src command registry js object didconfirmselection applications atom app contents resources app node modules command palette lib command palette view js selectlistview confirmselection applications atom app contents resources app node modules command palette node modules atom select list src select list view js htmldivelement core confirm applications atom app contents resources app node modules command palette node modules atom select list src select list view js commandregistry handlecommandevent applications atom app contents resources app src command registry js keymapmanager module exports keymapmanager dispatchcommandevent applications atom app contents resources app node modules atom keymap lib keymap manager js keymapmanager module exports keymapmanager handlekeyboardevent applications atom app contents resources app node modules atom keymap lib keymap manager js windoweventhandler handledocumentkeyevent applications atom app contents resources app src window event handler js commands application folder input hidden input application open input hidden input command palette toggle input hidden input core move input hidden input core confirm input hidden input autocomplete description link input hidden input core packages atom soda dark ui monokai',bug
'maximum call stack size exceeded','prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description call stack tree sitter https user images githubusercontent 33e2cdaa fbc8 11e7 8cb1 0ec0aeaf36a8 gif steps reproduce enable tree sitter parsers open file https gist github ben3eee 4eee864b9fc387d1b57cf5dc9f217f07 select copy lines file paste end file expected behavior lines paste actual behavior exception reproduces versions atom dev 3d8902d x64 electron os microsoft windows professional additional information users lineri desktop issues atom master atom atom x64 resources app node modules text buffer lib text buffer js rangeerror maximum call stack exceeded array splice anonymous treesitterlanguagemode bufferdidchange desktop issues atom master atom atom x64 resources app src tree sitter language mode js textbuffer module exports textbuffer emitdidchangeevent desktop issues atom master atom atom x64 resources app node modules text buffer lib text buffer js textbuffer module exports textbuffer applychange desktop issues atom master atom atom x64 resources app node modules text buffer lib text buffer js textbuffer module exports textbuffer settextinrange desktop issues atom master atom atom x64 resources app node modules text buffer lib text buffer js selection inserttext desktop issues atom master atom atom x64 resources app src selection js mutateselectedtext desktop issues atom master atom atom x64 resources app src text editor js getselectionsorderedbybufferposition map desktop issues atom master atom atom x64 resources app src text editor js array map native transact desktop issues atom master atom atom x64 resources app src text editor js textbuffer module exports textbuffer transact desktop issues atom master atom atom x64 resources app node modules text buffer lib text buffer js texteditor transact desktop issues atom master atom atom x64 resources app src text editor js mergeintersectingselections desktop issues atom master atom atom x64 resources app src text editor js texteditor mergeselections desktop issues atom master atom atom x64 resources app src text editor js texteditor mergeintersectingselections desktop issues atom master atom atom x64 resources app src text editor js texteditor mutateselectedtext desktop issues atom master atom atom x64 resources app src text editor js texteditor pastetext desktop issues atom master atom atom x64 resources app src text editor js texteditor core paste desktop issues atom master atom atom x64 resources app src register commands js desktop issues atom master atom atom x64 resources app src register commands js textbuffer module exports textbuffer transact desktop issues atom master atom atom x64 resources app node modules text buffer lib text buffer js texteditor transact desktop issues atom master atom atom x64 resources app src text editor js htmlelement newcommandlisteners anonymous function desktop issues atom master atom atom x64 resources app src register commands js commandregistry handlecommandevent desktop issues atom master atom atom x64 resources app src command registry js keymapmanager module exports keymapmanager dispatchcommandevent desktop issues atom master atom atom x64 resources app node modules atom keymap lib keymap manager js keymapmanager module exports keymapmanager handlekeyboardevent desktop issues atom master atom atom x64 resources app node modules atom keymap lib keymap manager js windoweventhandler handledocumentkeyevent desktop issues atom master atom atom x64 resources app src window event handler js cc maxbrunsfeld',bug
'uncaught typeerror tokenizelines function','enable tree sitter parsers open styleguide atom dev 3d8902d52 x64 electron os microsoft windows pro thrown atom core stack trace uncaught typeerror tokenizelines function atom master atom atom x64 resources app node modules highlights lib highlights js typeerror tokenizelines function highlights module exports highlights highlightcommon atom master atom atom x64 resources app node modules highlights lib highlights js highlights module exports highlights highlightsync atom master atom atom x64 resources app node modules highlights lib highlights js codeblock update atom master atom atom x64 resources app node modules styleguide lib code block js codeblock atom master atom atom x64 resources app node modules styleguide lib code block js render atom master atom atom x64 resources app node modules styleguide node modules etch lib render js addchildren atom master atom atom x64 resources app node modules styleguide node modules etch lib render js render atom master atom atom x64 resources app node modules styleguide node modules etch lib render js addchildren atom master atom atom x64 resources app node modules styleguide node modules etch lib render js render atom master atom atom x64 resources app node modules styleguide node modules etch lib render js object initialize atom master atom atom x64 resources app node modules styleguide node modules etch lib component helpers js exampleselectlistview atom master atom atom x64 resources app node modules styleguide lib select list view js render atom master atom atom x64 resources app node modules styleguide node modules etch lib render js updatechildren atom master atom atom x64 resources app node modules styleguide node modules etch lib patch js patch atom master atom atom x64 resources app node modules styleguide node modules etch lib patch js updatesync atom master atom atom x64 resources app node modules styleguide node modules etch lib component helpers js atom master atom atom x64 resources app node modules styleguide node modules etch lib component helpers js defaultscheduler performupdates atom master atom atom x64 resources app node modules styleguide node modules etch lib scheduler js commands 2x styleguide show input hidden input core packages cc maxbrunsfeld',bug
text,'description recent dev build atom dev dced608f4 selecting line line text invisible demo demo https user images githubusercontent 2ba26b26 f526 11e7 8b2f 7f1d61bba5a7 gif steps reproduce build atom source https github atom atom commit dced608f4 start atom safe mode select line text expected behavior show line selected line text actual behavior shows line selected line text reproduces versions macos atom version atom dev dced608f4 electron chrome node apm version apm npm node x64 atom dev dced608f4 python git',bug
'windows blurry','prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description windows graphic res screen https user images githubusercontent a7092f50 f2cb 11e7 83fc 454e5ed4632c gif steps reproduce install atom windows res screen expected behavior graphic sharp actual behavior graphic reproduces versions years',enhancement
'atom protocol unclear','read atom code conduct filing issue expected comply including treating respect https github atom atom blob master code conduct md question support atom message board place support https discuss atom io description code issue ux issue message image https user images githubusercontent 11e7 98e3 9eb85af46cb9 png handler set atom explenation versions x64 information copy pasting output atom version apm version command line include os version os running',enhancement
'atom text editor unique identifier attribute derived object id','prerequisites put brackets line reproduced problem safe mode http flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide http flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description package atom pane element js problem arises files unique identifier files path exist texteditor object file texteditor object common data ideal atom pane id derived texteditor object update slight misunderstanding workings reply https github atom atom issues issuecomment correct description issue',enhancement
'support fontfamily','flight manual set language configuration http flight manual atom io atom sections customization language configuration https discuss atom io family sources great fontfamily lineheight gfm source editor lineheight',enhancement
'theme theme','prerequisites put brackets line reproduced problem safe mode http flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide http flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description user theme selected launches atom safe mode theme list selected atom dark great atom theme dark theme atom dark themes years steps reproduce select theme atom material launch atom safe mode expected behavior atom theme dark actual behavior theme list atom dark fallback reproduces time versions atom beta0 electron chrome node',enhancement
'uncaught typeerror read property startswith undefined','enter steps reproduce atom beta0 x64 electron os mac os thrown atom core stack trace uncaught typeerror read property startswith undefined applications atom beta app contents resources app node modules tree view lib tree view js typeerror read property startswith undefined applications atom beta app contents resources app node modules tree view lib tree view js function module exports emitter simpledispatch applications atom beta app contents resources app node modules event kit lib emitter js emitter module exports emitter emit applications atom beta app contents resources app node modules event kit lib emitter js atom confirm move trash applications atom beta app contents resources app node modules tree view lib tree view js applicationdelegate module exports applicationdelegate confirm applications atom beta app contents resources app src application delegate js atomenvironment module exports atomenvironment confirm applications atom beta app contents resources app src atom environment js treeview module exports treeview removeselectedentries applications atom beta app contents resources app node modules tree view lib tree view js htmlelement tree view applications atom beta app contents resources app node modules tree view lib tree view package js commandregistry handlecommandevent applications atom beta app contents resources app src command registry js commandregistry dispatch applications atom beta app contents resources app src command registry js atomenvironment module exports atomenvironment dispatchcontextmenucommand applications atom beta app contents resources app src atom environment js eventemitter outercallback applications atom beta app contents resources app src application delegate js emitthree events js eventemitter emit events js commands core move input hidden input docblockr parse enter input hidden input editor newline input hidden input core save input hidden input core copy input hidden input core paste input hidden input core backspace input hidden input autocomplete confirm input hidden input 2x core move input hidden input core move left input hidden input editor select beginning word input hidden input datatip toggle input hidden input core select input hidden input editor move end screen line input hidden input core save input hidden input tree view span file directory core packages atom ide ui blame busy signal docblockr file highlight selected hyperclick ide flowtype ide php intentions language language docker language gherkin language graphql language ini language language nginx language pug language rust language swift language terraform language thrift language linter php linter phpcs linter phpmd magicpython php fixer php debug php integrator annotations php integrator autocomplete php integrator base php integrator php integrator symbol viewer php manager set syntax lines',bug
'target symbol iterator function','atom errors jquery object https github atom atom blob 843f91c8d2b5d436da2de5a64fbed42f1757a61b src manager js l119 target loop error applicable issues https github morassman process palette issues https github platformio platformio atom ide terminal issues',bug
'uncaught typeerror read property add null find','enter steps reproduce atom beta0 x64 electron os microsoft windows home thrown atom core stack trace uncaught typeerror read property null users alex appdata local atom app beta0 resources app node modules replace lib js typeerror read property null process nexttick appdata local atom app beta0 resources app node modules replace lib js combinedtickcallback internal process tick js process tickcallback internal process tick js commands show atom pane pane core paste input hidden input core confirm input hidden input core close results view focusable panel show atom workspace workspace scrollbars visible theme atom material syntax dark theme atom material ui core confirm input hidden input core packages atom comb atom handlebars atom material syntax atom material syntax dark atom material ui indentation busy signal counter snippets file file types hidpi highlight line highlight selected intentions language language dots language latte language postcss slash linter linter js linter ui menu editor minimap minimap cursorline minimap replace minimap git diff minimap highlight selected open files pigments react snippets set syntax drop text wordcount',bug
'improve screen position pixel position','calling texteditorelement texteditorcomponent unconditionally render https github atom atom blob 62774596919fdce190a1c5c6378f56535547aac3 src text editor component js l198 happen line screen render editor line inconvenient multiple lines screen calling multiple times layout thrashing editor component unable cluster due batched nature propose additional getpixelposition position async true texteditorelement promise promise resolve position component batch screen fulfill shot promise component decide collection screen defer measurement animation idle cc',enhancement
'bundle size snapshotted','spring v8 snapshots https github atom atom improve startup time source files ship snapshot time unable step debugger snapshotted code decide enable snapshots mode package authors step atom source code debugging packages cii hashseed patch debugging issue electron position snapshotted scripts application bundle save bandwidth users fairly potential savings cc damieng',enhancement
'uncaught error missing terminating character','enter steps reproduce atom dev 4eea63c50 ia32 electron os debian gnu linux thrown atom core stack trace uncaught error missing terminating character usr share atom resources app asar node modules superstring index js error missing terminating character textbuffer findallinrangesync app asar node modules superstring index js textbuffer module exports textbuffer findallinrangesync usr share atom resources app node modules text buffer lib text buffer js cursor getbeginningofcurrentwordbufferposition usr share atom resources app src cursor js object getprefixtext usr share atom resources app node modules snippets lib snippets js object snippettoexpandundercursor usr share atom resources app node modules snippets lib snippets js htmlelement snippets expand usr share atom resources app node modules snippets lib snippets js commandregistry handlecommandevent usr share atom resources app src command registry js keymapmanager module exports keymapmanager dispatchcommandevent usr share atom resources app node modules atom keymap lib keymap manager js keymapmanager module exports keymapmanager handlekeyboardevent usr share atom resources app node modules atom keymap lib keymap manager js windoweventhandler handledocumentkeyevent usr share atom resources app src window event handler js commands 2x selector show atom text editor editor focused snippets tab stop input hidden input snippets expand input hidden input editor indent input hidden input selector show atom text editor editor focused autocomplete confirm input hidden input core save input hidden input 13x core move input hidden input 4x core move left input hidden input core move input hidden input 10x core move left input hidden input core backspace input hidden input snippets tab stop input hidden input snippets expand input hidden input snippets tab stop input hidden input snippets expand input hidden input core packages',bug
'pane workspace open','read atom code conduct filing issue expected comply including treating respect https github atom atom blob master code conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode http flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide http flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description workspace open show pane activatepane activate pane dock pane shows activated decoupling display author show input focus active pane steps reproduce workspace open activatepane false showpane true expected behavior expect happen show pane actual behavior pane shown visible reproduces percentage time reproduce versions latest additional information https github atom atom blob 1722273630bf8b306ac34bb7b4b38ffa40135cab src dock js l58',enhancement
