@relation Issues

@attribute Title string
@attribute Body string
@attribute Label {bug,enhancement}

@data
'Does not work on Linux duplicate handles ',' From varemenos on May 23 2015 22 56 This doesn t actually initialize a livereload watcher does it It s just a shortcut to refresh the UI correct Copied from original issue atom dev live reload 17 ',bug
'Package name and command misleading',' From MartinMuzatko on April 14 2016 9 39 I used this dev live reload in the hope of it being able to live reload my changes to core packages coffescript when in atom d mode image https cloud githubusercontent com assets 2950505 14523724 77248470 0235 11e6 908b c2116d8f818f png Please rename Dev Live Reload Reload All to Dev Live Reload Reload All Styles So I thought that this image https cloud githubusercontent com assets 2950505 14523775 b5bf0962 0235 11e6 9b9f 1b82be51244f png and the package are related Copied from original issue atom dev live reload 21 ',enhancement
'Live reload in dev mode fails when multiple files are symlinks to the same path ',' From p0lm on April 17 2017 23 16 Have you read Atom s Code of Conduct By filing an Issue you are expected to comply with it including treating everyone with respect https github com atom atom blob master CODE OF CONDUCT md Do you want to ask a question Are you looking for support The Atom message board is the best place for getting support https discuss atom io Prerequisites x Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description When multiple files within the same project are symlinks to an identical path dev live no longer works Steps to Reproduce 1 Create a new project 2 Create a new file 3 Create 2 symlinks to the original file 4 Open Atom in developer mode Expected behavior Live reload on edit of either the original file or when opened via the symlink Actual behavior No live reload Trace below The handle 20 returned by watching path to second symlink is the same with an already watched path path to first symlink HandleWatcher start main js 91 HandleWatcher main js 20 PathWatcher main js 140 exports watch main js 234 module exports File subscribeToNativeChangeEvents file js 598 module exports File willAddSubscription file js 107 anonymous function file js 3 module exports File onDidChange file js 86 module exports TextBuffer subscribeToFile text buffer js 1272 module exports TextBuffer setPath text buffer js 317 TextBuffer text buffer js 122 module exports Project buildBuffer project coffee 385 module exports Project bufferForPath project coffee 364 openTextFile workspace js 719 openURIInPane workspace js 624 open workspace js 556 module exports TreeView openAfterPromise tree view coffee 246 module exports TreeView fileViewEntryClicked tree view coffee 240 module exports TreeView entryClicked tree view coffee 228 anonymous function tree view coffee 100 Reproduces how often 100 Versions Linux Mint 18 1 Cinnamon Atom 1 16 0 development mode Copied from original issue atom dev live reload 25 ',bug
'Report browser process exceptions',' From kevinsawicki on October 18 2013 1 8 Figure out a way to report these since they can be just as bad as render process exceptions Copied from original issue atom exception reporting 2 ',enhancement
'Collect recent errors and make them available',' From kevinsawicki on August 14 2014 1 6 Currently when the dev tools pops up it only shows the top of the stack for the errors that were logged This can make it hard to tell which package caused it and you have to do the whole open the dev tools first reproduce the error get the stack dance So start collecting the last 10 or so and make the log able from dev tools using something like printRecentErrors This method could even check the stack and tell you which package it came from by looking for atom packages in the stack Copied from original issue atom exception reporting 10 ',enhancement
'Request Indicate that package is looking for existing issue',' From tairun on September 26 2015 15 6 I think its really cool that the package checks if there is already an open issue on github But the default button says Report Error and if you click it and the issue was in fact already reported nothing happens A good 2 3 seconds later the button changes to View Issue I would appreciate it if there was a visual indicator that atom is searching online Copied from original issue atom exception reporting 16 ',enhancement
'Exception when non Error thrown',' From peterhal on May 24 2016 18 3 parseStackTrace attempts to use the thrown value as a key in the StackTraceCache WeakMap WeakMap keys must be Objects while non Objects may be thrown If a non Object is thrown the following stack trace is generated Error reporting uncaught exception TypeError Invalid value used as weak map key at WeakMap set native at parseStackTrace Applications Atom app Contents Resources app asar node modules exception reporting lib reporter js 115 23 at shouldReport Applications Atom app Contents Resources app asar node modules exception reporting lib reporter js 102 20 at Object exports reportUncaughtException Applications Atom app Contents Resources app asar node modules exception reporting lib reporter js 169 10 at Applications Atom app Contents Resources app asar node modules exception reporting lib main js 21 27 at Function module exports Emitter simpleDispatch Applications Atom app Contents Resources app asar node modules event kit lib emitter js 25 14 at Emitter module exports Emitter emit Applications Atom app Contents Resources app asar node modules event kit lib emitter js 125 28 at Applications Atom app Contents Resources app asar src atom environment js 832 32 Copied from original issue atom exception reporting 19 ',bug
'Fails to report error when stacktrace includes core JavaScript API',' From jasonrudolph on April 10 2018 20 54 Description When an exception occurs and the stacktrace includes a core JavaScript API the exception reporting package fails to report the exception to bugsnag For example the stacktrace below involves an exception in the fuzzy finder package and the stacktrace includes a call to Array forEach github fuzzy finder lib main js 81 Uncaught Error at forEach Users j github fuzzy finder lib main js 81 31 at Array forEach native at Object createProjectView Users j github fuzzy finder lib main js 81 9 at HTMLElement fuzzy finder toggle file finder Users j github fuzzy finder lib main js 12 14 at CommandRegistry handleCommandEvent Applications Atom app Contents Resources app src command registry js 384 49 at KeymapManager module exports KeymapManager dispatchCommandEvent Applications Atom app Contents Resources app node modules atom keymap lib keymap manager js 621 22 at KeymapManager module exports KeymapManager handleKeyboardEvent Applications Atom app Contents Resources app node modules atom keymap lib keymap manager js 412 28 at WindowEventHandler handleDocumentKeyEvent Applications Atom app Contents Resources app src window event handler js 110 40 When the exception reporting package attempts to normalize the paths in the stacktrace https github com atom exception reporting blob 06b51ec2f8db4753c9ffc9ad6360061939ac32d5 lib reporter js L70 L86 the package errors when it encounters Array forEach in the stacktrace Instead of reporting the exception to bugsnag the package logs an error to the console Error reporting uncaught exception TypeError Cannot read property replace of null at Reporter normalizePath github exception reporting lib reporter js 71 27 at Reporter scrubPath github exception reporting lib reporter js 77 31 at github exception reporting lib reporter js 61 20 at Array map native at Reporter buildStackTraceJSON github exception reporting lib reporter js 59 40 at Reporter buildExceptionJSON github exception reporting lib reporter js 54 24 at Reporter buildNotificationJSON github exception reporting lib reporter js 33 27 at Reporter reportUncaughtException github exception reporting lib reporter js 229 30 at github atom out app node modules exception reporting lib main js 25 23 at Function module exports Emitter simpleDispatch Applications Atom app Contents Resources app node modules event kit lib emitter js 25 20 at Emitter module exports Emitter emit Applications Atom app Contents Resources app node modules event kit lib emitter js 141 34 at window onerror Applications Atom app Contents Resources app src atom environment js 949 26 at KeymapManager module exports KeymapManager dispatchCommandEvent Applications Atom app Contents Resources app node modules atom keymap lib keymap manager js 621 22 at KeymapManager module exports KeymapManager handleKeyboardEvent Applications Atom app Contents Resources app node modules atom keymap lib keymap manager js 412 28 at WindowEventHandler handleDocumentKeyEvent Applications Atom app Contents Resources app src window event handler js 110 40 Steps to Reproduce 1 Clone the repository for another bundled package and apm link it We ll use fuzzy finder for this example 1 git clone atom fuzzy finder 1 cd fuzzy finder 1 git checkout v1 8 1 1 apm install apm link 1 In the fuzzy finder code edit main js to trigger an error that has a core JavaScript API in the stacktrace diff a lib main js b lib main js 78 6 78 8 module exports createProjectView 0 forEach throw new Error whoops this stopLoadPathsTask if this projectView null 1 Clone the atom exception reporting repository and apm link the package 1 git clone atom exception reporting 1 cd exception reporting 1 git checkout v0 43 1 1 apm install apm link 1 In the exception reporting code edit lib reporter js so that it will treat our local copy of fuzzy finder as a bundled package for error reporting purposes diff a lib reporter js b lib reporter js 253 7 253 7 export default class Reporter isBundledFile fileName return this normalizePath fileName indexOf this resourcePath 0 return true isTeletypeFile fileName 1 Open Atom 1 Trigger the Fuzzy Finder Toggle File Finder command to force the error above to be thrown Expected behavior Error should be successfully posted to bugsnag Actual behavior Error is not reported to bugsnag Reproduces how often 100 Versions exception reporting 0 43 1 atom version Atom 1 27 0 dev 6dd878d Electron 1 7 11 Chrome 58 0 3029 110 Node 7 9 0 cc as cii since we encountered this issue while pairing today Copied from original issue atom exception reporting 40 ',bug
'Use wrap guide s column length if it differs from editor s preferred line length',' From jasonrudolph on December 26 2013 21 49 When the wrap guide settings https github com atom wrap guide blob 4ffdee199951398f5953fe575dfa3c777e0cdbc0 docs index md configuration differ from the editor preferredLineLength setting it would be awesome if the autoflow package used the wrap guide settings to determine the line length Example Use Case For most files I prefer a line length of 80 characters So I have editor preferredLineLength set to 80 But for Git commit messages 72 characters is a better choice http tbaggery com 2008 04 19 a note about git commit messages html To help me stick to that guideline I have a custom wrap guide setting https github com atom wrap guide blob 4ffdee199951398f5953fe575dfa3c777e0cdbc0 docs index md configuration for commit messages cson wrap guide columns pattern COMMIT EDITMSG column 72 I d love to be able to reflow a commit message to 72 characters Currently when you reflow a paragraph it uses editor preferredLineLength to determine the line length The gif below demonstrates the current behavior Note the wrap guide at 72 characters and the reflow wrap at 80 characters autoflow demo https f cloud github com assets 2988 1812282 7fce0bba 6e75 11e3 86cc 0daca6ed4b33 gif In my case the commit message gets reflowed at 80 characters instead of 72 It would be awesome if it wrapped at 72 characters Note I m not sure whether we would want the autoflow package to have a dependency on the wrap guide package Seems kinda weird Maybe these two packages should be combined Copied from original issue atom autoflow 2 ',enhancement
'Reflow multiple paragraphs',' From ahti on March 2 2014 15 45 It s not currently possible to reflow multiple paragraphs at once When multiple cursors are placed only the paragraph containing the first cursor is reflowed When text is selected across multiple paragraphs only the paragraph containing the beginning of the selection is reflowed I think in these cases the expected behaviour would be to reflow every paragraph that contains a cursor or is part of the selection Additionally I think a separate command for reflowing the whole buffer would be useful Copied from original issue atom autoflow 6 ',enhancement
' Auto reflow on editing',' From ahti on March 2 2014 15 48 I think it might be useful to have an option to reflow paragraphs after every edit typing insertion deletion so the user doesn t need to remember to reflow his buffer after writing Because this might not make sense for every kind of document I think it would be reasonable to allow the user to select on which document kinds identified by their grammar this feature should be enabled Copied from original issue atom autoflow 7 ',enhancement
'reflowing JSdoc fails',' From slang800 on May 8 2014 19 20 coffee Constructor options are passed in from the cli tool or manually when using nsync as a library By default it just sets schema properties that all transports use param type options description return type description extend get s reflowed into this coffee Constructor options are passed in from the cli tool or manually when using nsync as a library By default it just sets schema properties that all transports use param type options description return type description extend which is pretty clearly wrong It would be great if autoflow had the same behavior as ST2 s wrap plus https github com ehuss Sublime Wrap Plus package which reflows to look like this coffee Constructor options are passed in from the cli tool or manually when using nsync as a library By default it just sets schema properties that all transports use param type options description return type description extend Copied from original issue atom autoflow 9 ',enhancement
'Markdown links are broken on reflow',' From lee dohm on July 20 2014 0 16 See the Discuss topic that led to this http discuss atom io t make reflow selection markdown aware 10995 Markdown hyperlinks can be broken by inserting a line break in between the label and the link address like so screen shot 2014 07 19 at 5 05 43 pm https cloud githubusercontent com assets 1038121 3636138 1ee3f3ee 0fa3 11e4 8ab3 7907411df46d png Copied from original issue atom autoflow 11 ',bug
'Latex comments broken on reflow selection',' From fbrundu on July 31 2014 18 47 Hi I have not a gif but this issue is easily reproducible When I comment a long line with Latex comment starts with and then run reflow selection the comment is truncated reflown but only the first part is commented The following new lines are not commented I tested only Latex but maybe this issue affects other languages as well Thanks Copied from original issue atom autoflow 12 ',bug
'Autoflow does not play well with comments',' From archer884 on April 18 2015 1 53 Code and comment before reflow DiceResult is a vector of unsigned integers DiceResult wraps a vector of unsigned integers allowing us to implement specialized formatting functions for dice roll results pub struct DiceResult Vec u32 Code and comment after reflow did not select code for reflow operation just including it for reference DiceResult is a vector of unsigned integers DiceResult wraps a vector of unsigned integers allowing us to implement specialized formatting functions for dice roll results pub struct DiceResult Vec u32 Entertainingly enough this operation has actually inserted tabs in places I of course have opted to use spaces instead of tabs in the settings menu Copied from original issue atom autoflow 23 ',bug
'Reflow selection breaks indentation',' From izuzak on July 1 2015 10 56 From danbim on July 1 2015 10 1 If I have a block of text indented and I use the reflow selection command cmd alt q on Mac the resulting text block will only keep the intended indentation in the first line but lose it in the following lines While for some file types this might be the correct behaviour IMO for many others it s not Therefore reflow selection is unusable for my source code screen shot 2015 07 01 at 11 57 20 https cloud githubusercontent com assets 300638 8452143 ced99d34 1fe8 11e5 910e b9e79629aa2a png If the current behaviour is still to be supported I suggest to make this a customizable behaviour e g depending on file type Copied from original issue atom atom 7621 Copied from original issue atom autoflow 31 ',enhancement
'Autoreflow doesn t take non breaking space into account',' From PaulEcoffet on November 1 2015 18 12 If there is a non breaking space https en wikipedia org wiki Non breaking space at a breaking point autoreflow will break it and delete it Exemple Input Lorem ipsum dolor sit amet consectetur adipisicing elit sed do eiusmo tempor incididunt ut labore 81st char and non breaking space After reflow Lorem ipsum dolor sit amet consectetur adipisicing elit sed do eiusmo tempor incididunt ut labore The non breaking space has been broken Expected Lorem ipsum dolor sit amet consectetur adipisicing elit sed do eiusmo tempor incididunt ut labore The non breaking space should not be broken Copied from original issue atom autoflow 38 ',enhancement
'Cannot autoflow JSDoc comments',' From onury on June 12 2016 18 6 js Atom autoflow test Cannot autoflow JSDoc comments readonly private this is autolowed into this js Atom autoflow test Cannot autoflow JSDoc comments readonly private Atom v1 8 0 Mac OS X 10 11 5 Copied from original issue atom autoflow 52 ',bug
'Reflow jumbles separate lines together',' From joallard on October 18 2016 12 39 This is following burodepeper language markdown 144 I searched briefly if the issue was already existing sorry if it s a dupe To be clear this happens when the heading and paragraph are not separated by an empty line gherkin Given I have markdown Oh how headers are useful This is a paragraph with some text that will make it go over the line of 80 characters It is a paragraph and we want it to be separate from the heading And I put the caret between This and is When I invoke Reflow Alt Cmd Q Then only the paragraph should be reflown Actual md Oh how headers are useful This is a paragraph with some text that will make it go over the line of 80 characters It is a paragraph and we want it to be separate from the heading Copied from original issue atom autoflow 53 ',bug
'Add support for editorconfig file',' From terrycloth on March 13 2017 22 27 Prerequisites x Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description EditorConfig http editorconfig org is an attempt at standardizing certain configurations across text code editors to help keep things consistent no matter who is editing the file or with what program You can configure settings https github com editorconfig editorconfig wiki EditorConfig Properties for a whole project a directory or specific files matched using globbing patterns with rules set in standard INI format In particular I think it would be helpful if Autoflow followed the max line length directive which defines what should be the maximum number of characters per line EditorConfig currently only uses the value here to set the placement of a visual text wrapping guide i e a hint rather than forcing hard wrap However I think maximum line length is semantically related enough that it would make sense for Autoflow to use this directive when determining how to rewrap text in the current context Versions Fedora 25 Workstation x86 64 Atom 1 15 0 Autoflow 0 29 0 Electron 1 3 13 Chrome 52 0 2743 82 Node 6 5 0 apm 1 13 0 npm 3 10 10 node 6 9 5 python 2 7 13 git 2 9 3 Copied from original issue atom autoflow 58 ',enhancement
'Symlinks within repository now breaking git diff',' From lucascosti on February 10 2017 3 40 Have you read Atom s Code of Conduct By filing an Issue you are expected to comply with it including treating everyone with respect https github com atom atom blob master CODE OF CONDUCT md Do you want to ask a question Are you looking for support The Atom message board is the best place for getting support https discuss atom io Prerequisites x Put an X between the brackets on this line if you have done all of the following Reproduced the problem in Safe Mode http flight manual atom io hacking atom sections debugging using safe mode Followed all applicable steps in the debugging guide http flight manual atom io hacking atom sections debugging Checked the FAQs on the message board for common solutions https discuss atom io c faq Checked that your issue isn t already filed https github com issues utf8 q is 3Aissue user 3Aatom Checked that there is not already an Atom package that provides the described functionality https atom io packages Description I have a repo that contain symlinks to other places within the same repo eg repo docs topics InstallGuide topics topics repo docs InstallGuide topics is a symlink to repo docs topics If I open a file from within the symlinked directory repo docs InstallGuide topics then git diff line marking in the gutter for that file no longer works If I open the file from repo docs topics git diff line marking in the gutter does work I m not sure when it started breaking but I think it was after I installed 1 14 0 I don t think this is the same issue as 91 as this directory structure has been working fine with git diff until this week Versions OS is Fedora 24 atom version Atom 1 14 1 Electron 1 3 13 Chrome 52 0 2743 82 Node 6 5 0 apm version apm 1 15 3 npm 3 10 5 node 4 4 5 x64 python 2 7 13 git 2 7 4 Copied from original issue atom git diff 124 ',bug
'CRLF showing as changes when git commits them in LF ',' From matthieuheitz on November 24 2016 8 53 I have a file with CRLFs I use the git setting that automatically takes care of it and commits files with LF instead of CRLF When I type git diff on that file I don t see any changes Whereas in the Atom Minimap all the lines are orange except for the last one This makes it impossible to properly use this package since all lines have changes Maybe this package should not consider the CRLF instead of LF as a change What do you think I already submitted this issue here https github com atom minimap minimap git diff issues 25 issuecomment 260886624 and they directed me here Copied from original issue atom git diff 116 ',bug
'Provide option to ignore EOL whitespace',' From lijunle on June 18 2016 9 8 Repository getLineDiffs https github com atom git utils blob 7c6c2fd5650233d0e5d4bdee80f04f574ed5ff83 README md repositorygetlinediffspath text options provides an option to ignoreEOLWhitespace however it is not passed in the code https github com atom git diff blob 1f73deb3020b26e8e6578db89ccd76045060bd23 lib git diff view coffee L103 Could you please add it as an option Copied from original issue atom git diff 102 ',enhancement
'Deletion mark in gutter is partially covered when the mark s bottom row is selected',' From izuzak on August 22 2015 7 46 In the GIF below something was deleted between row 16 and 17 so the icon is shown Notice how when I click in the gutter for row 16 the upper part of the triangle is still visible but when I click in the gutter for row 17 the lower part of the triangle is no longer visible gutter https cloud githubusercontent com assets 38924 9423029 e79a1258 48b1 11e5 9baa 9ee16f9a7dc2 gif Atom 1 0 8 a87dd05 in safe mode on OSX Some pager simurai as cii nathansobo Copied from original issue atom git diff 71 ',bug
'Diff lines only change on window focus after commit',' From DepthDeluxe on July 7 2014 21 29 Minor issue but it would be nice if when a user committed files line diffs were automatically updated as opposed to updating when the window is refocused i e when I change a line and then commit that change atom still thinks the line is different than HEAD until refocusing the editor Copied from original issue atom git diff 28 ',bug
'Close icon re appears after drag dropping a tab',' From chbk on October 1 2017 2 7 one dark ui 1 10 6 on atom 1 20 1 tabs https user images githubusercontent com 7478535 31051006 4957f126 a65d 11e7 9086 92fc576303eb gif Drag tab C drop it on tab B B takes C s place and its close icon appears Copied from original issue atom one dark ui 221 ',bug
'Atom s UX problems',' Summary Here a few UX problems that aren t really bugs nor feature requests but can still negatively impact a user s experience I ll keep adding more when something comes to mind Also feel free to comment below but keep in mind that this issue is not meant to brainstorm solutions and only focuses on the problems first If we want to improve something an RFC should be proposed Can t quickly switch projects When wanting to switch to another project Atom opens a new window which takes a while And you also have to close the current window Also the new window size and placement could be different and might need adjustment Workaround You could re use the same window by removing and adding root folders in the tree view but that feels tedious Use packages like project plus https atom io packages project plus project jump https atom io packages project jump project switcher2 https atom io packages project switcher2 No way to limit the scope to a single root project When having multiple root projects find and replace or fuzzy finder always search in all projects But sometimes you might want some projects not to be active and just use as reference Similar issue https github com atom github issues 1676 https github com atom github issues 1676 Workaround Temporarily remove and then after the search add the removed projects back again Autocomplete is not auto enough When Autocomplete shows several options the order is chronological If the option you want is not near the top you have to spell it out or use the arrow key many times Workaround None Slow settings for Packages Themes and Updates It usually takes several seconds until the list of packages themes is shown Or when showing in the Status Bar that there are new updates available it still takes a long time until the updates show up in the settings Workaround Install package settings https atom io packages package settings to open a package s settings directly Package discovery is hard to find in the settings People instinctively go to Settings Packages and then start to type to search for a package not realizing that they have to go to Settings Install This came up in the past https github com atom settings view issues 825 but hasn t gotten enough priority Workaround Use apm install package name It s hard to know the health of a package There are many packages that are abandoned and not maintained anymore They are either broken or have bugs that make it less usable But it s hard to know before installing a package and trying it out Workaround Go to the repo to check a package s health Command palette could get over polluted Because there are quite a few commands more when installing a lot of packages it becomes hard to use commands without spelling them out Workaround Remove packages so they don t pollute the list use a keymap or install the tool bar https atom io packages tool bar package Some functionality is hard to discover For example the GitHub package has a dock item with current and open PRs but it s hard to discover that this exists See this issue https github com atom github issues 1573 Workaround Look through Menu Packages Look through command palette Package authors could add a button to the Status Bar although the Status Bar shouldn t be mis used as a navigation Package authors need to build their own UI Atom provides some UI components like select list tooltip mini editor and there are also some CSS only components in the Styleguide https github com atom styleguide like button checkbox inputs etc But otherwise package authors need to build everything themselves It s great to have the freedom but it s also a lot of extra work and consistency lacks between all the packages Workaround Package authors could use a 3rd party UI library ',enhancement
' check for updates button for Linux',' From pedzed on October 13 2016 17 55 On Windows and macOS you have a button to update Atom to the latest version It would be nice if Linux also had that If the update functionality will not be implemented anytime soon it would be nice if there s a button that tells you if an update is available just so you know that your version is outdated And perhaps also instructions on how to update Currently you have to check at https github com atom atom releases to see if there is a newer version Understandably that is far from ideal Copied from original issue atom about 38 ',enhancement
