Title,Body
Atom 1.40.1 starts infinite copies of itself (fork bomb!),"<!--

Have you read Atom's Code of Conduct? By filing an Issue, you are expected to comply with it, including treating everyone with respect: https://github.com/atom/.github/blob/master/CODE_OF_CONDUCT.md

Do you want to ask a question? Are you looking for support? The Atom message board is the best place for getting support: https://discuss.atom.io

-->

### Prerequisites

* [x] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: <https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode>
    * Followed all applicable steps in the debugging guide: <https://flight-manual.atom.io/hacking-atom/sections/debugging/>
    * Checked the FAQs on the message board for common solutions: <https://discuss.atom.io/c/faq>
    * Checked that your issue isn't already filed: <https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom>
    * Checked that there is not already an Atom package that provides the described functionality: <https://atom.io/packages>

### Description

When I restarted atom today (I think it was just upgraded?) It started to create infinite copies of itself stacked on top of each other to the point my computer was unusable. I'd restart my computer and atom would do the same thing. Finally I was able to ssh into my own computer and remove the atom package so it couldn't start and from there I was able to experiment a bit. I tried starting it with `--clear-window-state` and with `--safe`, but I saw the same fork-bomb behavior.

Finally, I moved my `~/.atom` dir to `~/.atom-backup` and then atom was able to start successfully. I copied the `packages` dir back to the new `~/.atom` and started fresh. I still have a copy of that backup dir in case it would be helpful to reproduce the bug.



### Steps to Reproduce

1. Upgrade to atom 1.40.1
2. (re)Start atom
3. Be ready to `killall atom` a few times!

**Expected behavior:**

Atom should not fork-bomb

**Actual behavior:**

Atom fork-bombs

**Reproduces how often:**

100%

### Versions

<!-- You can get this information from copy and pasting the output of `atom --version` and `apm --version` from the command line. Also, please include the OS and what version of the OS you're running. -->
```
$ atom --version
Atom    : 1.40.1
Electron: 3.1.10
Chrome  : 66.0.3359.181
Node    : 10.2.0
$ apm --version
apm  2.4.3
npm  6.2.0
node 10.2.1 x64
atom 1.40.1
python 2.7.12
git 2.7.4
$ lsb_release -a
LSB Version:	core-9.20160110ubuntu0.2-amd64:core-9.20160110ubuntu0.2-noarch:printing-9.20160110ubuntu0.2-amd64:printing-9.20160110ubuntu0.2-noarch:security-9.20160110ubuntu0.2-amd64:security-9.20160110ubuntu0.2-noarch
Distributor ID:	Ubuntu
Description:	Ubuntu 16.04.5 LTS
Release:	16.04
Codename:	xenial
```

### Additional Information

<!-- Any additional information, configuration or data that might be necessary to reproduce the issue. -->
"
Atom eats up nearly all the RAM before releasing it some minutes later,"<!--

Have you read Atom's Code of Conduct? By filing an Issue, you are expected to comply with it, including treating everyone with respect: https://github.com/atom/.github/blob/master/CODE_OF_CONDUCT.md

Do you want to ask a question? Are you looking for support? The Atom message board is the best place for getting support: https://discuss.atom.io

-->

### Prerequisites

* [X] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: <https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode>
    * Followed all applicable steps in the debugging guide: <https://flight-manual.atom.io/hacking-atom/sections/debugging/>
    * Checked the FAQs on the message board for common solutions: <https://discuss.atom.io/c/faq>
    * Checked that your issue isn't already filed: <https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom>
    * Checked that there is not already an Atom package that provides the described functionality: <https://atom.io/packages>

### Description

I noticed that, in some cases (see ""Steps to reproduce""), Atom uses a lot of RAM and makes other processes nearly crashing. After a couple minutes, RAM is being freed and everything goes back to normal.

### Steps to Reproduce

1. Open editor
2. Add more than one file at a time (practical example: an Atom package I'm working on allowing to restore a saved tabs session, 10 files loaded)
OR

2. Add a file greater than 10MB (practical example: the performance profile I took out of the problem) 

**Expected behavior:**

Atom loads the file in not more than 2 minutes, with a normal use of the RAM equivalent to the loaded file(s) size, or at least a little more

**Actual behavior:**

Atom takes a lot of time to load (more than 5 minutes), fills progressively the RAM almost entirely, causing all the other processes to nearly crash and the whole system to hang during this time, then releases it all of a sudden and stabilize.

**Reproduces how often:**

Happens everytime the steps to reproduce are applied.

### Versions

Atom    : 1.40.1
Electron: 3.1.10
Chrome  : 66.0.3359.181
Node    : 10.2.0
OS: Windows 7 Family Edition Premium (64 bits)
Relevant specs: 8GB RAM __DDR3 (from memory)__, Intel Pentium G2020 CPU

### Additional Information

Syntactical coloration might be the reason of the lack of performance, but I don't think it's what trigger the sudden filling of RAM.
I can eventually provide a profiling of what happens in the first case.
"
Error when installing Godot code support,"### Prerequisites

* [x] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: <https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode>
    * Followed all applicable steps in the debugging guide: <https://flight-manual.atom.io/hacking-atom/sections/debugging/>
    * Checked the FAQs on the message board for common solutions: <https://discuss.atom.io/c/faq>
    * Checked that your issue isn't already filed: <https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom>
    * Checked that there is not already an Atom package that provides the described functionality: <https://atom.io/packages>

### Description

I can not install the package lang-gdscript.

**Error message:**
```
> tree-sitter-gdscript@0.2.3 install /tmp/apm-install-dir-119725-15300-wyjp48.qkzu/node_modules/lang-gdscript/node_modules/tree-sitter-gdscript
> prebuild-install || node-gyp rebuild


prebuild-install WARN install No prebuilt binaries found (target=3.1.10 runtime=electron arch=x64 libc= platform=linux)
Aborted (core dumped)
Aborted (core dumped)
gyp: Call to 'node -e ""require('nan')""' returned exit status 134 while in binding.gyp. while trying to load binding.gyp
gyp ERR! configure error 
gyp ERR! stack Error: `gyp` failed with exit code: 1
gyp ERR! stack     at ChildProcess.onCpExit (/usr/share/atom/resources/app/apm/node_modules/npm/node_modules/node-gyp/lib/configure.js:345:16)
gyp ERR! stack     at ChildProcess.emit (events.js:182:13)
gyp ERR! stack     at Process.ChildProcess._handle.onexit (internal/child_process.js:237:12)
gyp ERR! System Linux 5.0.0-25-generic
gyp ERR! command ""/usr/share/atom/resources/app/apm/bin/node"" ""/usr/share/atom/resources/app/apm/node_modules/npm/node_modules/node-gyp/bin/node-gyp.js"" ""rebuild""
gyp ERR! cwd /tmp/apm-install-dir-119725-15300-wyjp48.qkzu/node_modules/lang-gdscript/node_modules/tree-sitter-gdscript
gyp ERR! node -v v10.2.1
gyp ERR! node-gyp -v v3.7.0
gyp ERR! not ok 
Aborted (core dumped)
npm WARN enoent ENOENT: no such file or directory, open '/tmp/apm-install-dir-119725-15300-wyjp48.qkzu/package.json'
npm WARN apm-install-dir-119725-15300-wyjp48.qkzu No description
npm WARN apm-install-dir-119725-15300-wyjp48.qkzu No repository field.
npm WARN apm-install-dir-119725-15300-wyjp48.qkzu No README data
npm WARN apm-install-dir-119725-15300-wyjp48.qkzu No license field.

npm ERR! code ELIFECYCLE
npm ERR! errno 134
npm ERR! tree-sitter-gdscript@0.2.3 install: `prebuild-install || node-gyp rebuild`
npm ERR! Exit status 134
npm ERR! 
npm ERR! Failed at the tree-sitter-gdscript@0.2.3 install script.
npm ERR! This is probably not a problem with npm. There is likely additional logging output above.

npm ERR! A complete log of this run can be found in:
npm ERR!     /home/<user>/.atom/.apm/_logs/2019-08-25T16_39_35_655Z-debug.log
```

### Steps to Reproduce:
- Clicked install in lang-gdscript extension.

**Expected behavior:**
Sucessful install.
<!-- What you expect to happen -->

**Actual behavior:**
Error (not installing).
"
Issue Using Keyboard Macros,"I use iCUE software to create keyboard macros related to working to LaTeX in atom and have had an issue with a macro (using the prnt screen key) that produces the following:

_\begin{itemize}
    \item
\end{itemize}_

The macro works fine in every programming, however in atom the output of the macro changes at random. Here is a gif that shows the issue when I press the macro key (you can see it works the first two times but not the next two):

![Atom Issue (0)](https://user-images.githubusercontent.com/40768692/62695678-25f15600-ba1a-11e9-905d-579e618717c1.gif)

"
Atom transpile option ignores node_modules,"### Description

It seems atom transpiles dependencies of the packages (code in `node_modules`) even if they are not used. However, atom transpile option explicitly [ignores `node_modules`](https://github.com/atom/atom/blob/1d9a4cafcf6cc288d675512db8fd984e13aab869/src/package-transpilation-registry.js#L99-L100).

In my case I have a dependency containing typescript code which is not properly transpiled due to a broken built-in typescript transpiler and I can't use `atom-ts-transpiler` either since it's not applied to `node_modules`, so I end up with 

```
Error: ENOENT, node_modules/typescript/bin/lib.d.ts not found in /Applications/Atom.app/Contents/Resources/app.asar
    at notFoundError (ELECTRON_ASAR.js:108:19)
    at Object.fs.readFileSync (ELECTRON_ASAR.js:571:9)
    at TypeScriptSimple.createService (/Applications/Atom.app/Contents/Resources/app.asar/node_modules/typescript-simple/index.js:56:61)
    at TypeScriptSimple.compile (/Applications/Atom.app/Contents/Resources/app.asar/node_modules/typescript-simple/index.js:45:37)
    at Object.e.compile (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:11:577328)
    at Object.compile (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:11:573106)
    at compileFileAtPath (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:11:148526)
    at Object.value [as .ts] (/Applications/Atom.app/Contents/Resources/app/static/<embedded>:11:150924)
    at Module.load (internal/modules/cjs/loader.js:620:32)
    at tryModuleLoad (internal/modules/cjs/loader.js:559:12)
    at Function.Module._load (internal/modules/cjs/loader.js:551:3)
    at Module.require (file:///Applications/Atom.app/Contents/Resources/app.asar/static/index.js:71:46)
. . .
```
 

### Steps to Reproduce

1. Setup a package with `atomTranspilers` option set to `atom-ts-transpiler`
2. Have a dependency containing a `.ts` file
3. Try to load the package in atom

**Expected behavior:**

- Respect `atomTranspilers` glob pattern and use it to transpile even the code in `node_modules`;
- Don't transpile the code in `node_modules` at all;

**Actual behavior:**

Transpilation error due to a broken built-in typescript transpiler.

**Reproduces how often:**

100%

### Versions

```
Atom    : 1.39.1
Electron: 3.1.10
Chrome  : 66.0.3359.181
Node    : 10.2.0
```"
Horizontal scroll margin,"<!--

Have you read Atom's Code of Conduct? By filing an Issue, you are expected to comply with it, including treating everyone with respect: https://github.com/atom/.github/blob/master/CODE_OF_CONDUCT.md

Do you want to ask a question? Are you looking for support? The Atom message board is the best place for getting support: https://discuss.atom.io

-->

### Prerequisites

* [x] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: <https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode>
    * Followed all applicable steps in the debugging guide: <https://flight-manual.atom.io/hacking-atom/sections/debugging/>
    * Checked the FAQs on the message board for common solutions: <https://discuss.atom.io/c/faq>
    * Checked that your issue isn't already filed: <https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom>
    * Checked that there is not already an Atom package that provides the described functionality: <https://atom.io/packages>

### Description

<!-- Description of the issue -->
I've been hacking the Atom Core in Dev Mode to find out why setting the `horizontalScrollMargin` to 1 does not prevent this from happening:

![horizontal](https://user-images.githubusercontent.com/17730345/61051241-e1f23d80-a3e8-11e9-8e2b-e0a41da476ed.gif)

I don't want any horizontal scroll in this case.

The `horizontalScrollMargin` can be found here:

https://github.com/atom/atom/blob/8378b5116af606a97c59663226da430af6206414/src/text-editor.js#L176

It does not help setting this to 1.

I found that the `autoscrollHorizontally` function takes the `gutterContainerWidth` into account when setting the right side autoscroll:

https://github.com/atom/atom/blob/8378b5116af606a97c59663226da430af6206414/src/text-editor-component.js#L2080

So when calculating the `desiredScrollRight`, both the gutter width and horizontal scroll margin is taken into account. This means that the default `horizontalScrollMargin: 6` and the `gutterWidthContainer` (which seems to be 9 in my case) adds up to a horizontal scroll margin of 15.

If I remove the `gutterContainerWidth` from the above line, the `horizontalScrollMargin` works as expected.

Could someone explain why the `gutterContainerWidth` is taken into account when calculating the right side horizontal scroll margin?

### Steps to Reproduce

1. Set `horizontalScrollMargin: 1`
2. Add same code as in gif
3. Go right with cursor until it scrolls horizontally (too soon)

**Expected behavior:**

<!-- What you expect to happen -->
I expect the `horizontalScrollMargin` to work as `verticalScrollMargin` (which works as expected). 

If I set the `horizontalScrollMargin` to 1, I don't want any horizontal scroll until the right margin is < 1. 
**Actual behavior:**

<!-- What actually happens -->
It scrolls horizontally (right) too soon, because the `gutterContainerWidth` is taken into account when calculating the right side horizontal scroll margin.

**Reproduces how often:**
100%
<!-- What percentage of the time does it reproduce? -->

### Versions
apm  2.1.7
npm  6.2.0
node 8.9.3 x64
atom 1.38.2
python 2.7.16
git 2.15.0
<!-- You can get this information from copy and pasting the output of `atom --version` and `apm --version` from the command line. Also, please include the OS and what version of the OS you're running. -->

### Additional Information

<!-- Any additional information, configuration or data that might be necessary to reproduce the issue. -->
"
Vietnamese language display error with some specific chars.,"<!--

Have you read Atom's Code of Conduct? By filing an Issue, you are expected to comply with it, including treating everyone with respect: https://github.com/atom/.github/blob/master/CODE_OF_CONDUCT.md

Do you want to ask a question? Are you looking for support? The Atom message board is the best place for getting support: https://discuss.atom.io

-->

### Prerequisites

* [x] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: <https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode>
    * Followed all applicable steps in the debugging guide: <https://flight-manual.atom.io/hacking-atom/sections/debugging/>
    * Checked the FAQs on the message board for common solutions: <https://discuss.atom.io/c/faq>
    * Checked that your issue isn't already filed: <https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom>
    * Checked that there is not already an Atom package that provides the described functionality: <https://atom.io/packages>

### Description

A few Vietnamese chars have display issues although the font has support Vietnamese.

### Steps to Reproduce

1. Open `atom`
2. New file
3. Type or paste: `ế, ề, ể, ồ, ể, ề, ở, ...` and type `è é, ẽ, ư, ô, ê, ừ, ứ, ...` to compare.

<img width=""504"" alt=""Screen Shot 2019-07-07 at 7 23 39 AM"" src=""https://user-images.githubusercontent.com/12815768/60762357-2f3c7b00-a088-11e9-8ce6-089d3cea1685.png"">


**Expected behavior:**

Show normally

**Actual behavior:**

Text displayed as font errors.

**Reproduces how often:**

Always.

### Versions

```
Atom    : 1.38.2
Electron: 2.0.18
Chrome  : 61.0.3163.100
Node    : 8.9.3
```

### Additional Information

Nothing.
"
Is there some reason the MSI was removed between May'19 and Jul'19? We use it!,"## Summary

I last obtained a version of AtomSetup-x64.msi around May 24, 2019, based on the timestamp of the installer in my S3 bucket used for product installs. I recently went to update this and noticed the MSI no longer seems to exist. I searched older release assets and it seems to have been removed for every one I looked at going back months. We prefer this format - is there some reason this has been removed? Do you have a workaround for non-interactive installs?

## Motivation

We create infrastructure in AWS using CloudFormation. When creating instances, we use the AWS-native cfn-init program within CloudFormation templates to configure instances, including Windows. We want to pre-install Atom on our Windows Bastion hosts, as CloudAdmins need to first get to a bastion before they can reach internal resources in our Production environment as we must conform to FedRAMP standards. The cfn-init method has a package installer that can install an MSI, which we're using to do this. If you're taking away the MSI, which is installed non-interactively, not sure how we can install the EXE as a replacement. First, it does not have the same native package format support, and next, I think the EXE may require interactive feedback.
"
Settings -> Install page fails to open,"<!--

Have you read Atom's Code of Conduct? By filing an Issue, you are expected to comply with it, including treating everyone with respect: https://github.com/atom/.github/blob/master/CODE_OF_CONDUCT.md

Do you want to ask a question? Are you looking for support? The Atom message board is the best place for getting support: https://discuss.atom.io

-->

### Prerequisites

* [x] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: <https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode>
    * Followed all applicable steps in the debugging guide: <https://flight-manual.atom.io/hacking-atom/sections/debugging/>
    * Checked the FAQs on the message board for common solutions: <https://discuss.atom.io/c/faq>
    * Checked that your issue isn't already filed: <https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom>
    * Checked that there is not already an Atom package that provides the described functionality: <https://atom.io/packages>

### Description

Install does not work when on fresh install under WSL/Ubuntu/VcXsrv/LXDE

### Steps to Reproduce

1. Install Atom under WSL/Ubuntu/VcXsrv/LXDE environment

<!-- What you expect to happen -->

Can navigate to Install page of settings


<!-- What actually happens -->

Cannot navigate to install page of settings, error thrown

<!-- What percentage of the time does it reproduce? -->
100% of the time

### Versions

**Atom**: 1.26.1 x64
**Electron**: 1.7.11
**OS**: Ubuntu 18.04.2
**Thrown From**: Atom Core

### Additional Information


Error: 

Given:
1.Run WSL (Windows Serving Linux) with Ubuntu using VcXsrv (portable version)
3. Run LXDE
4. Fresh Install of Atom
5. Go to Settings
6. Click Install
Expected:
Package install page appears
Actual:
Error flashes, and install page is not navigated to.


### Stack Trace

Uncaught TypeError: undefined is not a function

```
At /opt/atom/resources/app/node_modules/settings-view/lib/install-panel.js:385

TypeError: undefined is not a function
    at InstallPanel.addPackageViews (/opt/atom/resources/app/node_modules/settings-view/lib/install-panel.js:385:30)
    at /opt/atom/resources/app/node_modules/settings-view/lib/install-panel.js:456:26
    at /opt/atom/resources/app/node_modules/settings-view/lib/atom-io-client.js:68:26
    at AtomIoClient.module.exports.AtomIoClient.fetchFromCache (/opt/atom/resources/app/node_modules/settings-view/lib/atom-io-client.js:159:22)
    at AtomIoClient.module.exports.AtomIoClient.featuredPackages (/opt/atom/resources/app/node_modules/settings-view/lib/atom-io-client.js:65:25)
    at InstallPanel.loadFeaturedPackages (/opt/atom/resources/app/node_modules/settings-view/lib/install-panel.js:450:27)
    at new InstallPanel (/opt/atom/resources/app/node_modules/settings-view/lib/install-panel.js:124:16)
    at /opt/atom/resources/app/node_modules/settings-view/lib/settings-view.js:247:22
    at SettingsView.getOrCreatePanel (/opt/atom/resources/app/node_modules/settings-view/lib/settings-view.js:371:25)
    at SettingsView.showPanel (/opt/atom/resources/app/node_modules/settings-view/lib/settings-view.js:429:30)
    at HTMLDivElement.clickHandler (/opt/atom/resources/app/node_modules/settings-view/lib/settings-view.js:190:24)
```

### Commands
Click +INSTALL in the settings menu

### Non-Core Packages

None


"
Create issue button not working: ERR_INSECURE_RESPONSE,"### Prerequisites

* [X ] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: <https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode>
    * Followed all applicable steps in the debugging guide: <https://flight-manual.atom.io/hacking-atom/sections/debugging/>
    * Checked the FAQs on the message board for common solutions: <https://discuss.atom.io/c/faq>
    * Checked that your issue isn't already filed: <https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom>
    * Checked that there is not already an Atom package that provides the described functionality: <https://atom.io/packages>

### Description

""Create issue on atom/atom"" button does not work

### Steps to Reproduce

1. Produce an error, e.g. (atom/tree-view#1282):
  1a. create a file with a comma in its name
  1b. drag it in the tree view to a different folder
2. In the dialog that opens, click ""Create issue on atom/atom"" 

No browser window is opened. Console (ctrl+shift+i) shows two new errors:
```
POST https://is.gd/create.php?format=simple net::ERR_INSECURE_RESPONSE
```
and
```
Uncaught (in promise) TypeError: Error processing argument at index 0, conversion failure from null
    at C:\Users\sternlab\AppData\Local\atom\app-1.38.2\resources\app\static\<embedded>:11:905732
    at <anonymous>
```

**Reproduces how often:**

Always

### Versions

Atom    : 1.38.2
Electron: 2.0.18
Chrome  : 61.0.3163.100
Node    : 8.9.3
Windows 10
"
Fail to generate an Atom build in Ubuntu 19.04 64bit,"I have created a new fork of the repository for Atom 1.40.0-dev. Following these [instructions](https://flight-manual.atom.io/hacking-atom/sections/hacking-on-atom-core/#platform-linux) for generating an Atom build, I have run “script/bootstrap” in order to install all required dependencies.

When trying to generate the Atom build using a Linux 19.04 64bit enabled computer by executing the “script/build”, I am getting an error message in the terminal when the building process stops. The error message is the following:

```
Node:	v10.16.0
Npm:	v6.2.0
Installing script dependencies
Installing apm
apm  2.3.1
npm  6.2.0
node 10.2.1 x64
atom unknown
python 2.7.16
git 2.20.1
Installing modules ✓
Wrote Dependencies Fingerprint: /home/dev-xr/gitprojects/atom/node_modules/.dependencies-fingerprint cbfce05d767b0c926487b711109ed54461b24ed0
Cleaning /home/dev-xr/gitprojects/atom/out
Copying assets to /home/dev-xr/gitprojects/atom/out/app
Transpiling packages with custom transpiler configurations in /home/dev-xr/gitprojects/atom/out/app
 transpiling for package github
Installing modules ✗
> superstring@2.3.6 install /home/dev-xr/gitprojects/atom/node_modules/github/node_modules/superstring
> node-gyp rebuild


Aborted (core dumped)
gyp: Call to 'node -e ""require('nan')""' returned exit status 134 while in binding.gyp. while trying to load binding.gyp
gyp ERR! configure error
gyp ERR! stack Error: `gyp` failed with exit code: 1
gyp ERR! stack     at ChildProcess.onCpExit (/home/dev-xr/gitprojects/atom/apm/node_modules/atom-package-manager/node_modules/npm/node_modules/node-gyp/lib/configure.js:345:16)
gyp ERR! stack     at ChildProcess.emit (events.js:182:13)
gyp ERR! stack     at Process.ChildProcess._handle.onexit (internal/child_process.js:237:12)
gyp ERR! System Linux 5.0.0-17-generic
gyp ERR! command ""/home/dev-xr/gitprojects/atom/apm/node_modules/atom-package-manager/bin/node"" ""/home/dev-xr/gitprojects/atom/apm/node_modules/atom-package-manager/node_modules/npm/node_modules/node-gyp/bin/node-gyp.js"" ""rebuild""
gyp ERR! cwd /home/dev-xr/gitprojects/atom/node_modules/github/node_modules/superstring
gyp ERR! node -v v10.2.1
gyp ERR! node-gyp -v v3.7.0
gyp ERR! not ok
Aborted (core dumped)
npm ERR! code ELIFECYCLE
npm ERR! errno 134
npm ERR! superstring@2.3.6 install: `node-gyp rebuild`
npm ERR! Exit status 134
npm ERR!
npm ERR! Failed at the superstring@2.3.6 install script.
npm ERR! This is probably not a problem with npm. There is likely additional logging output above.

npm ERR! A complete log of this run can be found in:
npm ERR!     /home/dev-xr/.atom/.apm/_logs/2019-06-18T20_30_29_748Z-debug.log
child_process.js:650
    throw err;
    ^

Error: Command failed: /home/dev-xr/gitprojects/atom/apm/node_modules/atom-package-manager/bin/apm install
  at checkExecSyncError (child_process.js:629:11)
  at Object.execFileSync (child_process.js:647:13)
  at module.exports (/home/dev-xr/gitprojects/atom/script/lib/run-apm-install.js:14:16)
  at module.exports (/home/dev-xr/gitprojects/atom/script/lib/transpile-packages-with-custom-transpiler-paths.js:44:7)
  at Object.<anonymous> (/home/dev-xr/gitprojects/atom/script/build:74:3)
  at Module._compile (internal/modules/cjs/loader.js:776:30)
  at Object.Module._extensions..js (internal/modules/cjs/loader.js:787:10)
  at Module.load (internal/modules/cjs/loader.js:653:32)
  at tryModuleLoad (internal/modules/cjs/loader.js:593:12)
  at Function.Module._load (internal/modules/cjs/loader.js:585:3)
  at Function.Module.runMain (internal/modules/cjs/loader.js:829:12)
  at startup (internal/bootstrap/node.js:283:19)
  at bootstrapNodeJSCore (internal/bootstrap/node.js:622:3)
```
I have been doing research about this issue and found this issue [#15203](https://github.com/atom/atom/issues/15203), where a very similar problem is described.

The issue got comments suggesting that the clang-3.3 package should be installed in order to fix the issue, nevertheless, because of the Ubuntu version I am using didn’t allow me to install that clang version so I had to install the clang-8.0 package. The clang package version (8.0)  was updated in the .travis.yml file in the local Atom project.

The build generation process was run again with the above-mentioned changes applied, but the error persists.

Alternatively, before running the building process I manually, and separately, installed the nodejs *superstring* package, which is described in the previously shared error message I got. For this, I executed `npm install superstring@2.3.6`. I did this in order to define if the dependency installed separately works when running the building process. But the results were also unsuccessful.

Would anyone have experienced a problem similar to this and has suggestions on how to solve it?
"
TextMate Grammar scope specifications with multiple scopes is incorrectly handled,"### Prerequisites

* [ ] Put an X between the brackets on this line if you have done all of the following:
    * Reproduced the problem in Safe Mode: https://flight-manual.atom.io/hacking-atom/sections/debugging/#using-safe-mode
    * Followed all applicable steps in the debugging guide: https://flight-manual.atom.io/hacking-atom/sections/debugging/
    * Checked the FAQs on the message board for common solutions: https://discuss.atom.io/c/faq
    * Checked that your issue isn't already filed: https://github.com/issues?utf8=✓&q=is%3Aissue+user%3Aatom
    * Checked that there is not already an Atom package that provides the described functionality: https://atom.io/packages

### Description

If a TextMate grammar scope specifier (`name` or `contentName`) specifies multiple scopes, they are not correctly handled, and thus highlighting fails.

![image](https://user-images.githubusercontent.com/26179051/58852662-09712000-865d-11e9-9920-6fba209631ad.png)

The above image shows a region which should have 6 scopes, but three of them are specified on a single specification, and so they appear as a single scope.

In addition to highlighting failing, automated tests using `atom-grammar-test` also fail.

The scope specifier in the grammar file is just the list of scopes separated with spaces.

I know VSCode-TextMate explicitly accepts this, as I have seen the code that makes sure to break up the specification list at the spaces, and so my grammar file works correctly in VS Code.  I am certain I saw this in another textmate grammar file, and given enough time I will find it.

(VS Code, same grammar file)
![image](https://user-images.githubusercontent.com/26179051/58853078-9c5e8a00-865e-11e9-986d-f7bfd8d050e5.png)

I'll get a link posted to the grammar file in question, if its needed.  These specific changes are not yet posted online.

(snippet of one repository item)
```CSON
	interpolation:
		begin: ""(\\$)(\\()""
		beginCaptures:
			""1"":
				name: ""keyword.other.substatement.powershell punctuation.definition.substatement.powershell punctuation.section.embedded.substatement.begin.powershell""
			""2"":
				name: ""punctuation.section.group.begin.powershell punctuation.section.embedded.substatement.begin.powershell""
		contentName: ""interpolated.complex.source.powershell""
		end: ""\\)""
		endCaptures:
			""0"":
				name: ""punctuation.section.group.end.powershell punctuation.section.embedded.substatement.end.powershell""
		name: ""meta.embedded.substatement.powershell""
		patterns: [
			{
				include: ""$self""
			}
		]
```

The purpose of these multiple scopes to that there are alternate ideas as to how the content should be scoped and themed, and this is the best to support them all.  The last scope in the specification would have the highest priority if the theme has a selection for it.

### Versions

Atom    : 1.37.0
Electron: 2.0.18
Chrome  : 61.0.3163.100
Node    : 8.9.3

Windows 10 1903 18908
"
We should reuse the electron-link cache between builds on Azure DevOps,"When building Atom, we [generate a v8 startup snapshot](https://github.com/atom/atom/blob/1edf94a24032a8a0e555c3db7aa7de01e5b00633/script/lib/generate-startup-snapshot.js) by transforming every source file in the code base and concatenating them all into one giant `startup.js` script. I don't have exact timings, but this takes a decent percentage of the 10 minutes we spend on the `Build Atom` step of every build on every platform.

The `electron-link` tool includes a caching facility, which skips transformation of any file that hasn't changed. If we could take advantage of that on Azure Pipelines, we'd save a significant chunk of time on every build.

@jasonrudolph co-authored this issue.

cc @daviwil "
Atom environment accessible from the main process,"Turns out that the main process has access to the `atom` global variable and there are some usages of it across the codebase (which are unreliable since the environment available in the main process has the state of the snapshot).

List of identified usages:

* `path-watcher.js`
  * https://github.com/atom/atom/blob/master/src/path-watcher.js#L185
  * https://github.com/atom/atom/blob/master/src/path-watcher.js#L223
  * https://github.com/atom/atom/blob/master/src/path-watcher.js#L232
  * https://github.com/atom/atom/blob/master/src/path-watcher.js#L547-L548
* `atom-application.js`
  * https://github.com/atom/atom/blob/master/src/main-process/atom-application.js#L33
  * https://github.com/atom/atom/blob/master/src/main-process/atom-application.js#L37

As [discussed in Slack](https://github.slack.com/archives/G2LCNPXBP/p1557406371287600), we should remove all usages of the `atom` global object from the main renderer, and then remove that global object from it in order to avoid relying on it in the future.

To find all potential usage, we can add a big warning every time the `atom` object is accessed by creating some kind of interceptor at the startup of the main process:

```js
const originalAtom = global.atom

Object.defineProperty(global, 'atom', {
  get() {
    console.error('Warning! Using the global atom variable from the main process')
    console.trace()
    return originalAtom
  }```"
